Date,Day,Cases,Deaths
22-Sep-20,206,5562663,88935
23-Sep-20,207,5646010,90020
24-Sep-20,208,5732518,91149
25-Sep-20,209,5818570,92290
26-Sep-20,210,5903932,93379
27-Sep-20,211,5992532,94503
28-Sep-20,212,6074702,95542
29-Sep-20,213,6145291,96318
30-Sep-20,214,6225763,97497
01-Oct-20,215,6312584,98678
02-Oct-20,216,6394068,99773
03-Oct-20,217,6473544,100842
04-Oct-20,218,6549373,101782
05-Oct-20,219,6623815,102685
06-Oct-20,220,6685082,103569
07-Oct-20,221,6757131,104555
08-Oct-20,222,6835655,105526
09-Oct-20,223,6906151,106490
10-Oct-20,224,6979423,107416
11-Oct-20,225,7053806,108334
12-Oct-20,226,7120538,109150
13-Oct-20,227,7175880,109856
14-Oct-20,228,7239389,110586
15-Oct-20,229,7307097,111266
16-Oct-20,230,7370468,112161
17-Oct-20,231,7432680,112998
18-Oct-20,232,7494551,114031
19-Oct-20,233,7550273,114610
20-Oct-20,234,7597063,115197
21-Oct-20,235,7651107,115914
22-Oct-20,236,7706946,116616
23-Oct-20,237,7761312,117306
